,song,artist,album,duration,date,date_album,explicit,popularity,adalaber,imagen,url_cancion,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,La vereda de la puerta de atrás,Extremoduro,"Yo, Minoría Absoluta",243320,2022-07-12T09:08:16Z,2002-03-01,False,62,user1,https://i.scdn.co/image/ab67616d0000b2737d95383aa4544f540f26c513,https://open.spotify.com/track/4kJP8Z888wREJ8bRMWNMuk,spotify:track:4kJP8Z888wREJ8bRMWNMuk,0.403,0.893,9,-2.735,0,0.0474,0.437,0.000173,0.11,0.527,141.194
1,La molinera,La Maravillosa Orquesta del Alcohol,Nuevo Cancionero Burgalés,166359,2022-07-12T09:08:32Z,2021-12-17,False,44,user1,https://i.scdn.co/image/ab67616d0000b2732c98f75ac47019523948a54f,https://open.spotify.com/track/505xdNAPS23sCjcsSyDjkN,spotify:track:505xdNAPS23sCjcsSyDjkN,0.424,0.476,0,-7.516,1,0.0362,0.605,1.64e-06,0.359,0.669,115.921
2,Mes de mayo,La Maravillosa Orquesta del Alcohol,Nuevo Cancionero Burgalés,149915,2022-07-12T09:08:37Z,2021-12-17,False,42,user1,https://i.scdn.co/image/ab67616d0000b2732c98f75ac47019523948a54f,https://open.spotify.com/track/5NC544ZW2nMWmb2K45F798,spotify:track:5NC544ZW2nMWmb2K45F798,0.632,0.484,7,-7.747,1,0.0263,0.44,1.93e-05,0.287,0.397,123.516
3,Si Quieres,Cariño,Si Quieres,167044,2022-07-12T09:21:05Z,2021-12-15,False,56,user1,https://i.scdn.co/image/ab67616d0000b27393e0aa1fb06f339317ba4a89,https://open.spotify.com/track/4eus2M68qtL8u8MWHHaxGG,spotify:track:4eus2M68qtL8u8MWHHaxGG,0.511,0.846,11,-3.803,1,0.0992,0.000866,0.000539,0.122,0.963,190.123
4,Tighten Up,The Black Keys,Brothers (Deluxe Edition),211040,2022-07-12T10:16:20Z,2010-05-18,False,0,user2,https://i.scdn.co/image/ab67616d0000b2733ef96926eb357b5c5bae803e,https://open.spotify.com/track/77KdcSx54OXNKvn6vMFCod,spotify:track:77KdcSx54OXNKvn6vMFCod,0.528,0.7,6,-6.103,0,0.0721,0.00136,5.14e-06,0.439,0.634,108.979
5,What You Know,Two Door Cinema Club,Tourist History,191426,2022-07-12T10:16:30Z,2010-04-27,False,57,user2,https://i.scdn.co/image/ab67616d0000b2733b38d380de72fd8b55a5fc2e,https://open.spotify.com/track/0oEweHsuQagFuqXct9UvBm,spotify:track:0oEweHsuQagFuqXct9UvBm,0.549,0.755,6,-3.991,0,0.0403,0.000741,6.06e-06,0.0786,0.818,139.034
6,"Hold On, We're Going Home","['Drake', 'Majid Jordan']",Nothing Was The Same (Deluxe),227880,2022-07-12T10:17:13Z,2013-01-01,False,73,user2,https://i.scdn.co/image/ab67616d0000b273adfb5909ec66db5fbb4d06c8,https://open.spotify.com/track/6jdOi5U5LBzQrc4c1VT983,spotify:track:6jdOi5U5LBzQrc4c1VT983,0.773,0.414,6,-7.436,0,0.0961,0.00411,3.4e-05,0.0733,0.289,99.993
7,Una Persona Sospechosa,Los Punsetes,Aniquilación,163266,2022-07-18T06:26:59Z,2019-10-04,False,41,user3,https://i.scdn.co/image/ab67616d0000b273f89b2adcea8d0d68f59bcceb,https://open.spotify.com/track/03N3GfcATqhDRFqyfftGdu,spotify:track:03N3GfcATqhDRFqyfftGdu,0.522,0.943,0,-3.762,1,0.118,0.00437,0.00766,0.109,0.534,172.08
8,La Revolución Sexual,La Casa Azul,La Revolución Sexual,274160,2022-07-18T06:29:48Z,2007-11-03,False,58,user3,https://i.scdn.co/image/ab67616d0000b273fead9af722d0862748c48293,https://open.spotify.com/track/5zHvsFZoCzLmhbRbYDkg42,spotify:track:5zHvsFZoCzLmhbRbYDkg42,0.686,0.877,0,-5.201,1,0.0373,0.00254,0.000977,0.0791,0.396,117.01
9,Lime Scurvy,El Pony Pisador,Matricular una galera,279280,2022-07-23T10:49:45Z,2019-12-13,False,18,user3,https://i.scdn.co/image/ab67616d0000b273e0d9fe2ccead119dcccca8db,https://open.spotify.com/track/08F38cMAF5bkAZNztO1JPm,spotify:track:08F38cMAF5bkAZNztO1JPm,0.404,0.829,2,-8.479,1,0.0427,0.0488,0.00329,0.038,0.962,142.059
10,Asado de fa,Sara Hebe,Puentera,186357,2022-07-25T08:06:21Z,2012,False,46,user3,https://i.scdn.co/image/ab67616d0000b2737b5700691cf8e72fec324d65,https://open.spotify.com/track/0cc3HERtXGbBijz4EGqIWW,spotify:track:0cc3HERtXGbBijz4EGqIWW,0.733,0.647,0,-4.654,1,0.269,0.442,0.0,0.117,0.834,85.085
11,DESPECHÁ,ROSALÍA,DESPECHÁ,157017,2022-07-29T13:37:14Z,2022-07-28,False,92,user3,https://i.scdn.co/image/ab67616d0000b2738f072024e0358fc5c62eba41,https://open.spotify.com/track/5ildQOEKmJuWGl2vRkFdYc,spotify:track:5ildQOEKmJuWGl2vRkFdYc,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037
12,Lobby Music (Original Soundtrack),Kahoot!,Lobby Music (Original Soundtrack),144008,2022-08-19T09:46:15Z,2013-03-05,False,49,user4,https://i.scdn.co/image/ab67616d0000b27363cd4c15622c673478406f2e,https://open.spotify.com/track/7IEdlE4ZwzPDxnoWFv10aj,spotify:track:7IEdlE4ZwzPDxnoWFv10aj,0.818,0.693,0,-15.818,0,0.117,0.0244,0.89,0.0925,0.968,119.968
13,KITT y los coches del pasado,"['Ladilla Rusa', 'Joan Colomo', 'Los Ganglios', 'Laura Santos', 'Lady Gipsy']",KITT y los coches del pasado,250411,2022-08-19T09:48:12Z,2019-03-29,False,45,user4,https://i.scdn.co/image/ab67616d0000b273ccb4e9a3e67183b876269141,https://open.spotify.com/track/09AitOsHz0VArhXmVOl4ip,spotify:track:09AitOsHz0VArhXmVOl4ip,0.754,0.864,0,-7.154,1,0.0604,0.00689,0.0,0.0679,0.843,140.02
14,Don Vito y la Revuelta en el Frenopático,Kortatu,A Frontline Compilation,112720,2022-08-19T09:48:26Z,1983-05-15,False,40,user4,https://i.scdn.co/image/ab67616d0000b273fb44af8f379e54c125a447a4,https://open.spotify.com/track/4EBFU2ujZgudwRUsi588jo,spotify:track:4EBFU2ujZgudwRUsi588jo,0.704,0.953,8,-7.713,1,0.305,0.709,0.0,0.13,0.604,95.318
15,Los Otakus,Astrud,Tú No Existes,292640,2022-08-23T17:46:49Z,2007-05-15,False,4,user3,https://i.scdn.co/image/ab67616d0000b2739d090497eaa2106770418825,https://open.spotify.com/track/3q8QTTkv8OgumsI7RIuGq0,spotify:track:3q8QTTkv8OgumsI7RIuGq0,0.453,0.573,7,-10.261,1,0.0483,0.47,2.58e-06,0.105,0.24,149.985
16,Gritando Amor,Luis Miguélez,Gritando Amor,313920,2022-08-31T17:41:04Z,2017-06-16,False,6,user3,https://i.scdn.co/image/ab67616d0000b2735c6b1932f7ea79cb91d6b204,https://open.spotify.com/track/2fviW9O2umUtGIPd6uoLls,spotify:track:2fviW9O2umUtGIPd6uoLls,0.595,0.905,10,-3.632,1,0.118,0.0134,9.62e-06,0.305,0.66,124.964
17,Spanish Bombs - Remastered,The Clash,London Calling (Remastered),198866,2022-09-01T15:35:35Z,1979,False,54,user3,https://i.scdn.co/image/ab67616d0000b273cd9d8bc9ef04014b6e90e182,https://open.spotify.com/track/6wtmql7FJ7SSLuSw8JD8rX,spotify:track:6wtmql7FJ7SSLuSw8JD8rX,0.609,0.799,11,-7.902,0,0.0346,0.0458,0.0,0.21,0.77,149.046
18,Fight For Your Right,Beastie Boys,Licensed To Ill,208653,2022-09-02T14:54:46Z,1986-11-15,False,69,user3,https://i.scdn.co/image/ab67616d0000b273a7ea08ab3914c5fb2084a8ac,https://open.spotify.com/track/5NLuC70kZQv8q34QyQa1DP,spotify:track:5NLuC70kZQv8q34QyQa1DP,0.503,0.858,8,-6.296,1,0.0657,0.00757,0.00234,0.0803,0.419,133.615
19,Piernas,Aterciopelados,Claroscura,251453,2022-09-04T10:11:07Z,2018-05-30,True,19,user3,https://i.scdn.co/image/ab67616d0000b2735f6f0cb5921c66e476acfd61,https://open.spotify.com/track/51kPib6RR40mQQhzU08jzv,spotify:track:51kPib6RR40mQQhzU08jzv,0.65,0.626,11,-5.12,1,0.0395,0.325,0.0,0.105,0.818,138.034
20,"Comer, Comer",Quim Barreiros,O Melhor De Quim Barreiros,230202,2022-09-17T23:36:11Z,2003,False,21,user4,https://i.scdn.co/image/ab67616d0000b273178e1ab177d560a8b0c2c11b,https://open.spotify.com/track/5WL5hEMLIYc11GnroGnszW,spotify:track:5WL5hEMLIYc11GnroGnszW,0.743,0.963,5,-4.923,1,0.0459,0.0848,0.0,0.279,0.963,135.094
21,What's Up?,4 Non Blondes,"Bigger, Better, Faster, More !",295533,2022-09-18T06:46:13Z,1992-01-01,False,79,user5,https://i.scdn.co/image/ab67616d0000b273381371cb8ce680d0dc324600,https://open.spotify.com/track/0jWgAnTrNZmOGmqgvHhZEm,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.355
22,Sweet Child O Mine,"['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso', 'Nicholas Hamilton', 'Kirk Ross', 'Philip Klein']",Captain Fantastic (Original Motion Picture Soundtrack),219733,2022-09-18T06:46:33Z,2016-07-15,False,49,user5,https://i.scdn.co/image/ab67616d0000b2732f2453dd68ddb2172b1c4217,https://open.spotify.com/track/5vOWPj3J5C937jSNyOIoLV,spotify:track:5vOWPj3J5C937jSNyOIoLV,0.487,0.445,7,-8.769,1,0.0464,0.657,0.0115,0.0674,0.412,124.943
23,Permanent Holiday,Mike Love,The Change I'm Seeking,482173,2022-09-18T06:47:44Z,2012-12-21,False,50,user5,https://i.scdn.co/image/ab67616d0000b27336da23c86c9a14e6891fc2a3,https://open.spotify.com/track/73gASYnzwZAzq5IYQf4Hff,spotify:track:73gASYnzwZAzq5IYQf4Hff,0.851,0.505,2,-5.648,0,0.139,0.406,1.15e-06,0.13,0.784,112.843
24,31 Flavors - Live,Trevor Hall,Chasing The Flame: On The Road With Trevor Hall,224973,2022-09-18T06:48:51Z,2010-01-01,False,11,user5,https://i.scdn.co/image/ab67616d0000b273cd8795cc235894788528e74e,https://open.spotify.com/track/04j1RTHkymB6Kk1o0aJo9U,spotify:track:04j1RTHkymB6Kk1o0aJo9U,0.367,0.793,4,-6.357,1,0.0549,0.359,0.0,0.841,0.75,145.976
25,Quien Manda,Mala Rodríguez,Bruja,167053,2022-09-18T07:00:06Z,2013-01-01,False,43,user5,https://i.scdn.co/image/ab67616d0000b273b36a2284e69a4b0e4fdfcf26,https://open.spotify.com/track/689o09PSSPw3BxnZHk2hNC,spotify:track:689o09PSSPw3BxnZHk2hNC,0.684,0.633,6,-3.921,1,0.211,0.0675,3.23e-06,0.0657,0.518,174.153
26,Deshice De Mi,Fémina,Deshice De Mi,258399,2022-09-18T07:01:12Z,2015-07-23,False,34,user5,https://i.scdn.co/image/ab67616d0000b273b65b4e8da584e1677dddd6b6,https://open.spotify.com/track/2ehzSpyl5zW4N6gXGJ0sXx,spotify:track:2ehzSpyl5zW4N6gXGJ0sXx,0.741,0.83,2,-7.467,1,0.0685,0.431,0.00381,0.128,0.67,108.034
27,Pero Es Locura,"['Fémina', 'Germán Cohen', 'Fermín Echeveste']",Traspasa,271573,2022-09-18T07:01:29Z,2014-10-20,False,38,user5,https://i.scdn.co/image/ab67616d0000b273325146207fd3a216b9474a18,https://open.spotify.com/track/5A7axrnjunywfdJw8evuMv,spotify:track:5A7axrnjunywfdJw8evuMv,0.77,0.731,0,-6.04,1,0.0412,0.544,2.09e-05,0.0973,0.912,99.044
28,No Me Toques Mal,"['Santiago Navas', 'La Muchacha']",No Me Toques Mal,238709,2022-09-18T07:01:52Z,2020-02-07,True,42,user5,https://i.scdn.co/image/ab67616d0000b2739b4bd352a43998ce8a3f9bbd,https://open.spotify.com/track/0g5dlQUamND1QwiY1yLD6I,spotify:track:0g5dlQUamND1QwiY1yLD6I,0.757,0.621,6,-8.315,0,0.436,0.653,1.68e-05,0.0829,0.672,185.727
29,Pa'l Monte (Versión al Natural),La Muchacha,Polen,254366,2022-09-18T07:02:24Z,2018-06-26,False,41,user5,https://i.scdn.co/image/ab67616d0000b27393cac2f5791a3814f2e208dd,https://open.spotify.com/track/3byOaLt6VVVuOtcngp4VpF,spotify:track:3byOaLt6VVVuOtcngp4VpF,0.408,0.109,6,-15.049,1,0.0539,0.967,0.0,0.0592,0.4,175.613
30,Reverdecer,Perotá Chingó,Aguas,115753,2022-09-18T07:02:42Z,2017-08-01,False,43,user5,https://i.scdn.co/image/ab67616d0000b2732553314119318dd516cedb59,https://open.spotify.com/track/1zgEVjZuV0T6jTj33HO8oX,spotify:track:1zgEVjZuV0T6jTj33HO8oX,0.608,0.0348,9,-19.689,0,0.201,0.943,0.0,0.416,0.0866,126.482
31,Esencia,KeTeKalles,Hurgar y Sacar,274840,2022-09-18T07:03:26Z,2016-12-21,False,36,user5,https://i.scdn.co/image/ab67616d0000b27390d0dab9c74ff41067b70b88,https://open.spotify.com/track/5qEDalpZyEJd2eXSjWH7Sp,spotify:track:5qEDalpZyEJd2eXSjWH7Sp,0.586,0.343,9,-14.388,0,0.448,0.396,0.0,0.0998,0.497,96.265
32,Todo Vibra,Paloma del Cerro,Para Bien,268358,2022-09-18T07:03:42Z,2015-12-01,False,36,user5,https://i.scdn.co/image/ab67616d0000b273b1a5bc71f8d736eabc92e0cf,https://open.spotify.com/track/0l5cfaaUQJrZpH2TUD0bwS,spotify:track:0l5cfaaUQJrZpH2TUD0bwS,0.545,0.568,7,-8.631,1,0.108,0.189,0.0301,0.129,0.286,126.759
33,I Could Have Lied,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),244400,2022-09-18T07:07:31Z,1991-09-24,True,59,user5,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70,https://open.spotify.com/track/0NSbiBKXoODbsPwjSivfBr,spotify:track:0NSbiBKXoODbsPwjSivfBr,0.56,0.209,7,-13.591,1,0.039,0.0132,0.551,0.342,0.407,140.744
34,The Past Recedes,John Frusciante,Curtains,233626,2022-09-18T07:07:47Z,2004,False,50,user5,https://i.scdn.co/image/ab67616d0000b2739a5f34517e3b55324e523a73,https://open.spotify.com/track/6Dm2KfuPBa3eXOgHaT88r4,spotify:track:6Dm2KfuPBa3eXOgHaT88r4,0.381,0.334,7,-11.36,1,0.0271,0.202,0.000203,0.411,0.171,102.632
35,Pretty Little Ditty - Remastered,Red Hot Chili Peppers,Mother's Milk,187813,2022-09-18T07:08:23Z,1989-08-16,False,46,user5,https://i.scdn.co/image/ab67616d0000b27379ac84696fa8624e97684d27,https://open.spotify.com/track/0VNgwKioO0om8n9R3oBoIj,spotify:track:0VNgwKioO0om8n9R3oBoIj,0.396,0.657,7,-7.691,1,0.0311,0.026,0.907,0.133,0.245,100.177
36,Um Contra o Outro - Studio,Deolinda,Dois Selos e um Carimbo,216240,2022-09-18T07:13:02Z,2010-11-08,False,27,user5,https://i.scdn.co/image/ab67616d0000b2739d8ea57a630628ddbc763018,https://open.spotify.com/track/2JvrftWneq7VGWayz1Kzwa,spotify:track:2JvrftWneq7VGWayz1Kzwa,0.73,0.447,9,-10.225,0,0.0503,0.907,0.0119,0.102,0.448,154.344
37,Movimiento,Jorge Drexler,Salvavidas de hielo,231653,2022-09-18T07:13:26Z,2017-09-22,False,49,user5,https://i.scdn.co/image/ab67616d0000b2734062d0b07c3a74ab73632475,https://open.spotify.com/track/7pBoi7yWCPzn3UjeMsGKg6,spotify:track:7pBoi7yWCPzn3UjeMsGKg6,0.784,0.457,2,-12.511,1,0.057,0.9,0.0299,0.112,0.546,125.021
38,Crimen,Gustavo Cerati,Ahí Vamos,232026,2022-09-19T04:49:38Z,2006-04-04,False,71,user6,https://i.scdn.co/image/ab67616d0000b273d543f7c7de880da5370922c0,https://open.spotify.com/track/3oqWr0jDWNXxWufNogGREp,spotify:track:3oqWr0jDWNXxWufNogGREp,0.537,0.502,4,-8.406,1,0.025,0.44,0.0709,0.199,0.288,80.511
39,Lucha De Gigantes,Nacha Pop,Amores Perros (Soundtrack),239800,2022-09-19T04:49:52Z,2000-01-01,False,55,user6,https://i.scdn.co/image/ab67616d0000b2730a76e5e5bd2defb60bea0e29,https://open.spotify.com/track/43GjYlBkIaEW2laq9D4Rr0,spotify:track:43GjYlBkIaEW2laq9D4Rr0,0.394,0.622,11,-7.932,0,0.0302,0.0505,0.000163,0.108,0.144,113.341
40,2 Corazones,Fobia,Rosa Venus,191826,2022-09-19T04:50:01Z,2005-08-23,False,48,user6,https://i.scdn.co/image/ab67616d0000b2733c1a9acd5a7056597fd47341,https://open.spotify.com/track/2rZaLiGz7459J981yEqneK,spotify:track:2rZaLiGz7459J981yEqneK,0.479,0.953,2,-4.95,1,0.0361,0.000138,0.00102,0.334,0.543,141.982
41,September,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",215093,2022-09-19T04:50:19Z,1978-11-23,False,82,user6,https://i.scdn.co/image/ab67616d0000b2734dd033f4cf3a0a58059cde69,https://open.spotify.com/track/2grjqo0Frpf2okIBiifQKs,spotify:track:2grjqo0Frpf2okIBiifQKs,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926
42,Play That Funky Music,Wild Cherry,Wild Cherry,300000,2022-09-19T04:50:24Z,1976,False,70,user6,https://i.scdn.co/image/ab67616d0000b273d419ed4f1e89669ce14bd369,https://open.spotify.com/track/5uuJruktM9fMdN9Va0DUMl,spotify:track:5uuJruktM9fMdN9Va0DUMl,0.814,0.672,9,-12.068,1,0.0619,0.0435,0.0,0.061,0.933,109.394
43,Don't Stop 'Til You Get Enough - 2003 Edit,Michael Jackson,Number Ones,236440,2022-09-19T04:51:03Z,2003-11-18,False,59,user6,https://i.scdn.co/image/ab67616d0000b2735dfb1bcbc7c58c52c9e5c0be,https://open.spotify.com/track/1HRtVWNhS9tEvDQyOKD9Fs,spotify:track:1HRtVWNhS9tEvDQyOKD9Fs,0.872,0.946,4,-3.105,1,0.0656,0.0502,0.0161,0.298,0.943,119.01
44,Bitter Sweet Symphony,The Verve,Urban Hymns (Remastered 2016),357266,2022-09-19T04:51:12Z,1997-09-29,False,79,user6,https://i.scdn.co/image/ab67616d0000b273707d13d3f87652e737e94d45,https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw,spotify:track:57iDDD9N9tTWe75x6qhStw,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176
45,Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),268426,2022-09-19T04:51:28Z,1991-03-12,False,83,user6,https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd,https://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx,spotify:track:31AOj9sFz2gM0O3hMARRBx,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
46,Wonderwall,Oasis,Upside Down: The Story Of Creation OST,258866,2022-09-19T04:51:34Z,2011-05-06,False,62,user6,https://i.scdn.co/image/ab67616d0000b273d877cbe5dc3c15082228e87d,https://open.spotify.com/track/4yBiZFLXn0n9AUJ5sWO88k,spotify:track:4yBiZFLXn0n9AUJ5sWO88k,0.402,0.845,2,-6.459,1,0.0319,0.000676,0.0,0.158,0.686,174.727
47,Where Is My Mind?,Pixies,Death to the Pixies,229226,2022-09-19T04:51:48Z,1997-10-06,False,77,user6,https://i.scdn.co/image/ab67616d0000b27350a3ed031b6db60772915efc,https://open.spotify.com/track/0KzAbK6nItSqNh8q70tb0K,spotify:track:0KzAbK6nItSqNh8q70tb0K,0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201
48,It's My Life,No Doubt,It's My Life,226053,2022-09-19T04:51:53Z,2003-01-01,False,52,user6,https://i.scdn.co/image/ab67616d0000b27380b2e67cf5fcd534a0b8a8b3,https://open.spotify.com/track/0mav6n8nq1QYVecjGNO472,spotify:track:0mav6n8nq1QYVecjGNO472,0.612,0.735,8,-5.074,0,0.0282,0.00202,0.00118,0.328,0.783,126.326
49,Hollaback Girl,Gwen Stefani,Love Angel Music Baby,199853,2022-09-19T04:52:03Z,2004-11-22,True,69,user6,https://i.scdn.co/image/ab67616d0000b273f049fc9322f0c93646cdcc77,https://open.spotify.com/track/0eqH0ALoDQevq59YcQ53KE,spotify:track:0eqH0ALoDQevq59YcQ53KE,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007
50,Personal Jesus,Depeche Mode,Violator,223880,2022-09-19T04:52:09Z,1990-03-19,False,58,user6,https://i.scdn.co/image/ab67616d0000b27385ee9ec1ed0c9a58c7384923,https://open.spotify.com/track/4P9iHeHiwzZAqvQCdoLkGg,spotify:track:4P9iHeHiwzZAqvQCdoLkGg,0.657,0.803,1,-8.08,1,0.0392,0.0586,0.0226,0.0583,0.834,129.861
51,Precious,"['Depeche Mode', 'Steve Fitzmaurice']",Playing the Angel,245866,2022-09-19T04:52:12Z,2005-10-18,False,58,user6,https://i.scdn.co/image/ab67616d0000b273e2fc1a0739dedfe8f0ad1fc3,https://open.spotify.com/track/3c4bJL7mARZvd387847GsC,spotify:track:3c4bJL7mARZvd387847GsC,0.568,0.837,1,-6.138,1,0.0266,0.09,0.0587,0.0994,0.853,104.988
52,Coffee & TV,Blur,13,358773,2022-09-19T04:52:18Z,1999,False,62,user6,https://i.scdn.co/image/ab67616d0000b27394983882a5effd77742a9f52,https://open.spotify.com/track/5eSllZgRWCIJsDTAqFRwQw,spotify:track:5eSllZgRWCIJsDTAqFRwQw,0.743,0.742,2,-10.117,1,0.0367,0.051,0.234,0.0987,0.706,121.604
53,The Man Who Sold The World - MTV Unplugged,Nirvana,Nirvana (International Version),230266,2022-09-19T04:52:23Z,2002-01-01,False,0,user6,https://i.scdn.co/image/ab67616d0000b273fa394d472a0633d8ffc52e9d,https://open.spotify.com/track/3jxrPXWriZPIXKGbuniXhW,spotify:track:3jxrPXWriZPIXKGbuniXhW,0.484,0.687,1,-7.746,0,0.0294,0.37,0.000271,0.914,0.411,114.98
54,Animal Instinct,The Cranberries,Bury The Hatchet,211066,2022-09-19T04:52:40Z,1999-04-19,False,62,user6,https://i.scdn.co/image/ab67616d0000b273b81b7c1663be64a39433eb35,https://open.spotify.com/track/3J58Ccc5iTbCRnYx2xjo6d,spotify:track:3J58Ccc5iTbCRnYx2xjo6d,0.61,0.85,4,-5.411,0,0.0307,0.089,0.0,0.256,0.604,132.174
55,Time to Pretend,MGMT,Oracular Spectacular,261000,2022-09-19T04:53:10Z,2007-12-14,True,70,user6,https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb,https://open.spotify.com/track/4iG2gAwKXsOcijVaVXzRPW,spotify:track:4iG2gAwKXsOcijVaVXzRPW,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99
56,Kids,MGMT,Oracular Spectacular,302840,2022-09-19T04:53:13Z,2007-12-14,False,77,user6,https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb,https://open.spotify.com/track/1jJci4qxiYcOHhQR247rEU,spotify:track:1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961
57,No Dices Mas,Mœnia,Adicion,259800,2022-09-19T04:53:29Z,1999-01-01,False,62,user6,https://i.scdn.co/image/ab67616d0000b27396ef54d65e887c3cddda1da5,https://open.spotify.com/track/2udRqNX3z2OjdqR01ebDwU,spotify:track:2udRqNX3z2OjdqR01ebDwU,0.707,0.716,1,-6.939,1,0.0277,0.109,0.000929,0.059,0.597,127.017
58,Brillas,León Larregui,Solstis - De León Larregui,226186,2022-09-19T04:53:53Z,2012-01-01,False,36,user6,https://i.scdn.co/image/ab67616d0000b273833110ebd5e6cdf55d5ec0e8,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI,spotify:track:6VuUMo1TusnqBxLTnr3hOI,0.625,0.433,9,-12.963,1,0.0366,0.376,0.00103,0.248,0.274,93.041
59,Me Gustas Tu,Manu Chao,Próxima Estación: Esperanza,239986,2022-09-19T04:53:59Z,2001-06-01,False,77,user6,https://i.scdn.co/image/ab67616d0000b2731dcba4a728ca0b17cbd204a5,https://open.spotify.com/track/6b37xrsNCWYIUphFBazqD6,spotify:track:6b37xrsNCWYIUphFBazqD6,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949
60,El lado oscuro,Jarabe De Palo,La Flaca,288053,2022-09-19T04:54:06Z,1996-09-30,False,66,user6,https://i.scdn.co/image/ab67616d0000b27347a83522c634e84f937a897e,https://open.spotify.com/track/3AR1c3Dssq51WlGGkuYJNj,spotify:track:3AR1c3Dssq51WlGGkuYJNj,0.818,0.723,7,-6.702,0,0.0296,0.528,0.000591,0.0905,0.748,98.049
61,Contigo (feat. Natalia Lafourcade),"['El Canto Del Loco', 'Natalia Lafourcade']",Radio la Colifata Presenta: El Canto del Loco,214853,2022-09-19T04:54:13Z,2009-11-24,False,62,user6,https://i.scdn.co/image/ab67616d0000b273c22e9dd3a02fe8a5fcd15178,https://open.spotify.com/track/3StCElHKaN6ASLf7Pymdum,spotify:track:3StCElHKaN6ASLf7Pymdum,0.727,0.628,1,-7.3,0,0.0269,0.213,0.0,0.12,0.686,118.007
62,Lost on You,LP,Lost on You,268105,2022-09-19T04:54:21Z,2017-05-05,False,75,user6,https://i.scdn.co/image/ab67616d0000b273edd52840c88ba5e7163071cf,https://open.spotify.com/track/2LIh4uzqq9cXMPzzmcToHl,spotify:track:2LIh4uzqq9cXMPzzmcToHl,0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006
63,Tightrope,LP,Lost on You,218644,2022-09-19T04:54:25Z,2017-05-05,False,57,user6,https://i.scdn.co/image/ab67616d0000b273edd52840c88ba5e7163071cf,https://open.spotify.com/track/7yEdqN44nhoAUco674ChDg,spotify:track:7yEdqN44nhoAUco674ChDg,0.472,0.823,8,-4.192,0,0.0763,0.134,0.0,0.11,0.41,159.888
64,Opening Song - Merry-Go-Round of Life,Joe Hisaishi,Howl's Moving Castle Soundtrack,153573,2022-09-19T04:55:31Z,2004-11-19,False,59,user6,https://i.scdn.co/image/ab67616d0000b27362c1f3370811c52ae2d26d24,https://open.spotify.com/track/3cIKojC2JBVIno9b35MJWn,spotify:track:3cIKojC2JBVIno9b35MJWn,0.325,0.0947,2,-20.885,0,0.0333,0.906,0.869,0.571,0.0949,49.034
65,"El Lago De Los Cisnes - Op. 20, Acto II: 10. Scene (Moderato)","['Pyotr Ilyich Tchaikovsky', 'Inma Shara']",La Isla De Los Sonidos: La Ciudad Sin Luz,186906,2022-09-19T04:56:11Z,2011-11-15,False,50,user6,https://i.scdn.co/image/ab67616d0000b2739cb08a2f9804ac4103231eca,https://open.spotify.com/track/5fUKjWT9DXC1yYRnvumMXe,spotify:track:5fUKjWT9DXC1yYRnvumMXe,0.099,0.123,11,-18.441,0,0.0403,0.931,0.944,0.162,0.0596,72.881
