,song,artist,album,duration,date,date_album,explicit,popularity,adalaber,imagen,url_cancion,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
88,Svefn-g-englar,Sigur Rós,Ágætis byrjun,606850,2022-09-19T05:08:38Z,1999-06-12,False,56,user6,https://i.scdn.co/image/ab67616d0000b27397d4015428c1ae8409236f69,https://open.spotify.com/track/07eGxuz8bL6QMsRqEe1Adu,spotify:track:07eGxuz8bL6QMsRqEe1Adu,0.2,0.466,9,-12.298,1,0.0486,0.557,0.702,0.108,0.0572,136.913
89,Olsen olsen,Sigur Rós,Ágætis byrjun,482946,2022-09-19T05:08:46Z,1999-06-12,False,49,user6,https://i.scdn.co/image/ab67616d0000b27397d4015428c1ae8409236f69,https://open.spotify.com/track/0S9w3jx4cO9rSBcGwB16in,spotify:track:0S9w3jx4cO9rSBcGwB16in,0.19,0.482,2,-11.912,1,0.0469,0.33,0.798,0.0926,0.228,134.418
90,1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),266200,2022-09-19T05:09:06Z,1995,False,76,user6,https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6,https://open.spotify.com/track/5QLHGv0DfpeXLNFo7SFEy1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879
91,"Try, Try, Try",The Smashing Pumpkins,Machina / The Machines Of God,309026,2022-09-19T05:09:35Z,2000-02-29,False,46,user6,https://i.scdn.co/image/ab67616d0000b273e24f7aaa97e6311d8fa89e1c,https://open.spotify.com/track/1P5dqn2alGf98KJzWU6iCE,spotify:track:1P5dqn2alGf98KJzWU6iCE,0.537,0.854,2,-6.32,1,0.0293,0.00137,0.877,0.0999,0.389,107.867
92,Broken,"['Seether', 'Amy Lee']",Disclaimer II,258333,2022-09-19T05:10:05Z,2004-01-01,False,69,user6,https://i.scdn.co/image/ab67616d0000b2732b08b69dddd1cb3976a9fa40,https://open.spotify.com/track/507bYMYfbm6sUS9iEAaeSd,spotify:track:507bYMYfbm6sUS9iEAaeSd,0.448,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762
93,In der Palästra,Sopor Aeternus & The Ensemble Of Shadows,Les Fleurs Du Mal,429146,2022-09-19T05:11:26Z,2008-10-31,False,39,user6,https://i.scdn.co/image/ab67616d0000b273942bdc0a539f148bf3599745,https://open.spotify.com/track/6Ys2QHWm57xwZZsVB4BlDV,spotify:track:6Ys2QHWm57xwZZsVB4BlDV,0.368,0.68,3,-8.161,1,0.0329,0.00285,3.46e-06,0.15,0.22,147.602
94,Drive Home,Steven Wilson,The Raven That Refused to Sing (and Other Stories),457250,2022-09-19T05:11:34Z,2013-02-25,False,46,user6,https://i.scdn.co/image/ab67616d0000b273957ae146a564181e7bbbfbd2,https://open.spotify.com/track/4kZbYkUuDHyphD71bPMYL1,spotify:track:4kZbYkUuDHyphD71bPMYL1,0.447,0.343,2,-11.625,1,0.0311,0.0419,0.329,0.102,0.0777,123.904
95,Pariah,"['Steven Wilson', 'Ninet Tayeb']",To The Bone,286225,2022-09-19T05:11:48Z,2017-08-18,False,45,user6,https://i.scdn.co/image/ab67616d0000b2732d98afe7647cff8d3ae94be3,https://open.spotify.com/track/7CcaktZZsdb8AWPdhDM38f,spotify:track:7CcaktZZsdb8AWPdhDM38f,0.497,0.213,6,-13.199,0,0.0317,0.102,0.112,0.21,0.0412,135.03
96,I Held the Mone,sToa,Zal,162640,2022-09-19T05:12:28Z,2004,False,13,user6,https://i.scdn.co/image/ab67616d0000b2737b504bda30b8713343a2bac2,https://open.spotify.com/track/2rI63V8yibcpyH3d4b4WFj,spotify:track:2rI63V8yibcpyH3d4b4WFj,0.515,0.0832,2,-20.124,0,0.0573,0.936,0.89,0.0845,0.195,83.415
97,Broken Glass,sToa,Silmand,202413,2022-09-19T05:12:36Z,2008-10-17,False,16,user6,https://i.scdn.co/image/ab67616d0000b27381d3b9760c7c21c2b15bd611,https://open.spotify.com/track/2ceFgPOU4knUkbTQZiyTTE,spotify:track:2ceFgPOU4knUkbTQZiyTTE,0.405,0.185,7,-15.806,0,0.0369,0.756,0.00013,0.124,0.129,171.828
98,Cheap Thrills,Sia,This Is Acting,211666,2022-09-19T05:14:03Z,2016-01-29,False,77,user6,https://i.scdn.co/image/ab67616d0000b27349e0134c686547c28b7c999f,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976
99,Chandelier,Sia,1000 Forms Of Fear,216120,2022-09-19T05:14:08Z,2014-07-04,False,79,user6,https://i.scdn.co/image/ab67616d0000b2735d199c9f6e6562aafa5aa357,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC,spotify:track:4VrWlk8IQxevMvERoX08iC,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
100,Fourth of July,Sufjan Stevens,Carrie & Lowell,279316,2022-09-19T05:14:23Z,2015-03-31,False,80,user6,https://i.scdn.co/image/ab67616d0000b273820e2ac14772ae3162c6d479,https://open.spotify.com/track/5Qnrgqy1pAm9GyNQOgyVFz,spotify:track:5Qnrgqy1pAm9GyNQOgyVFz,0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484
101,Seven Swans,Sufjan Stevens,Seven Swans,393346,2022-09-19T05:14:32Z,2004-03-16,False,35,user6,https://i.scdn.co/image/ab67616d0000b2737f4e05714b5d4d43486f39a8,https://open.spotify.com/track/6WgpLUTtNab8s8PnMNiKbM,spotify:track:6WgpLUTtNab8s8PnMNiKbM,0.576,0.25,2,-10.747,1,0.0336,0.92,0.0725,0.077,0.16,94.647
102,Lemuria,Therion,Lemuria,255413,2022-09-19T05:14:45Z,2004-05-24,False,44,user6,https://i.scdn.co/image/ab67616d0000b273d034933389cdb3f6794daa49,https://open.spotify.com/track/0lWYqPPmSQ0LIY4nN29QAl,spotify:track:0lWYqPPmSQ0LIY4nN29QAl,0.502,0.5,0,-7.796,1,0.0297,0.202,0.000989,0.141,0.193,119.756
103,Closer,Travis,The Boy With No Name,240626,2022-09-19T05:14:56Z,2007-05-07,False,59,user6,https://i.scdn.co/image/ab67616d0000b273443f3925eb0e8292d3c38594,https://open.spotify.com/track/7jP2937OACDPrN53DzO0Ye,spotify:track:7jP2937OACDPrN53DzO0Ye,0.538,0.581,5,-7.816,1,0.0235,0.204,5.26e-05,0.13,0.269,108.108
104,Game Over Shanghai (Liu Yang River),Zoé,Programaton,305320,2022-09-19T05:15:40Z,2013-01-01,False,42,user6,https://i.scdn.co/image/ab67616d0000b2732fab9c100d51bfb22d5aff6c,https://open.spotify.com/track/6blghPkCqNaiQBQmcgo9oa,spotify:track:6blghPkCqNaiQBQmcgo9oa,0.495,0.665,9,-7.4,1,0.0295,0.4,0.105,0.139,0.178,92.987
105,Paula,Zoé,Memo Rex Commander y el Corazón Atómico de la Vía Láctea,260160,2022-09-19T05:16:14Z,2006-07-12,False,58,user6,https://i.scdn.co/image/ab67616d0000b2730b8e3472fbc48bce859650f9,https://open.spotify.com/track/3IZjc0jcWpTLiTkJJCTyrE,spotify:track:3IZjc0jcWpTLiTkJJCTyrE,0.481,0.519,7,-6.704,1,0.0264,0.211,8.5e-06,0.114,0.254,79.006
